lema,nilai,nilai1
kesuburan,hal (keadaan) subur,(Dok) kemampuan menghasilkan keturunan
kesudahan,akhir,penghabisan
kesukaan,kegirangan,kegemaran
kesukaran,hal (keadaan dsb) sukar,kesulitan
kesulitan,keadaan yang sulit,sesuatu yang sulit
kesultanan,kawasan (daerah) yang diperintah oleh sultan,kerajaan
kesumba,berbagai tumbuhan yang menghasilkan cat merah misal,warna merah tua
kesunyian,perihal sunyi,keheningan
kesusastraan,perihal susastra,ilmu atau pengetahuan tentang segala hal yang bertalian dengan susastra
kesusilaan,perihal susila,yang berkaitan dengan adab dan sopan santun
ketaatan,kepatuhan,kesetiaan
ketakutan,perihal takut,rasa takut
ketang,→ ketang kenari,adj erat mengikat (seperti memakai ikat pinggang yang erat)
ketapang,pohon besar daunnya lebar buahnya bertempurung keras kulitnya untuk menyamak kulit bijinya dapat dibuat minyak,Terminalia catapa
ketaya,suluh dari bambu yang diberi berdamar pada ujungnya (untuk dibakar),tali leher (kerbau sapi) terbuat dari anyaman rotan terpilin yang diikatkan pada bom pedati
keteduhan,keredaan,ketenangan
keteguran,keadaan sakit karena diganggu hantu,kesambet
ketek,(Jw) monyet,kera
ketekoran,hal tekor,adj dalam keadaan tekor
ketelanjuran,keterlaluan,sesuatu yang sudah telanjur
ketenteraman,keadaan tenteram,keamanan
ketentuan,sesuatu yang sudah tentu atau yang telah ditentukan,ketetapan
keterangan,uraian dsb untuk menerangkan sesuatu,penjelasan
ketergantungan,hal (perbuatan) tergantung,(Psi) perihal hubungan sosial seseorang yang tergantung kepada orang lain atau masyarakat
keterkaitan,hal (perbuatan) terkait,keadaan (seseorang badan dsb) yang belum dapat mandiri ketergantungan
ketersediaan,kesiapan suatu sarana (tenaga barang modal anggaran) untuk dapat digunakan atau dioperasikan dalam waktu yang telah ditentukan,keadaan tersedia
ketertiban,peraturan (dalam masyarakat dsb),keadaan serba teratur baik
ketetapan,hal (keadaan) tetap,ketentuan
ketewasan,(ke)kalah(an),kecelakaan
ketiadaan,perihal tidak adanya ...,kekurangan
ketiap,perahu kecil untuk pelayaran di sungai,papan teratas dari susunan papan yang merupakan dinding sampan
ketiau,pohon yang kayunya untuk bangunan rumah bijinya biasa dibuat minyak,Ganua motleyana
ketiduran,tempat (balai-balai dsb) untuk tidur,v tidak sengaja tidur
ketik,→ tik,kaki cengkerik
ketika,waktu yang sangat singkat atau yang tertentu,saat
ketimbul,pohon besar yang kayunya tidak keras daunnya lebar berbulu halus dan berbentuk seperti tangan terentang buahnya bulat sebesar kelapa berdaging dan berbiji seperti buah nangka biasa dimakan sebagai sayur,keluih
ketimpangan,kepincangan,cacat
ketinggalan,sisa,kelebihan
ketinggian,hal (keadaan dsb) tinggi,(tempat dsb) yang lebih tinggi letaknya
ketip,gigitan binatang kecil (seperti agas nyamuk),(ark) mata uang yang nilainya sama dengan sepersepuluh rupiah atau sepuluh sen
ketohoran,kekeringan,kehausan
ketokan,hal mengetok atau mengetuk,hasil mengetok
ketola,tanaman menjalar buahnya hijau sebesar mentimun kulitnya bersegi-segi dagingnya yang masih muda empuk berongga seperti kapas biasa dibuat sayur (ada bermacam-macam,buah kelola
keton,pohon yang kayunya biasa dibuat tripleks,Mitragyna speciosa
ketopong besi,topi baja (biasa dipakai oleh tentara),tutup kepala dan muka dari besi (dipakai dengan baju zirah)
ketoprak,sandiwara tradisional Jawa biasanya memainkan cerita lama dengan iringan musik gamelan disertai tari-tarian dan tembang,makanan (khas Jakarta) terdiri atas ketupat tahu goreng kerupuk dan taoge yang dibubuhi bumbu kacang yang berkecap
ketua,orang yang tertua dan banyak pengalamannya (dalam suatu kampung dsb),orang yang mengepalai atau memimpin (rapat dewan perkumpulan dsb)
ketuahan,memperoleh tuah (keuntungan dsb),kesaktian
ketuhanan,sifat keadaan Tuhan,segala sesuatu yang berhubungan dengan Tuhan
ketuir,tumbuhan yang hidup di tepi pantai biasa digunakan nelayan untuk menawarkan bisa dsb,Clerodendron inerme
ketuk,bunyi seperti bunyi pukulan pada pintu meja dsb yang dibuat dari kayu,tiruan bunyi kotek ayam betina sesudah bertelur
ketul,sebanyak isi tangan terkepal (tentang nasi tanah dsb),gumpal
ketumbar,tumbuhan perdu daunnya bercuping bunganya berbentuk payung majemuk dengan warna putih atau merah jambu buahnya bulat kecil berwarna cokelat kekuning-kuningan biasa digunakan untuk bumbu,Coriandrum sativum
ketumbit,tumbuhan yang perasan air daunnya untuk mencuci mata,Leucas zeylanica
ketumpang,tumbuhan perdu tumbuh di tempat lembap digunakan sebagai campuran obat kejang perut,daun ketumpang
ketun,uang ringgit,(cak) uang emas yang nilainya Rp580
ketunggalan,hal mengenai tunggal,keesaan
ketuntasan,perihal (keadaan) tuntas,(Ling) prinsip dalam analisis bahasa yang tujuannya ialah memerinci sampai habis kontras-kontras dalam suatu perangkat data dan pada akhirnya semua kontras dalam bahasa secara keseluruhan
ketupa,tumbuhan kayu yang tingginya mencapai 2m buahnya bulat seperti buah menteng berwarna hijau kekuning-kuningan daging buahnya berwarna putih dan manis rasanya,Baccaurea dulces
ketur,tempat ludah (ketika makan sirih dsb),peludahan
keturunan,anak cucu,generasi
keuangan,seluk-beluk uang,urusan uang
keuntungan,hal mendapat untung (laba),untung
keuskupan,wilayah atau daerah yang menjadi wewenang uskup,seluk-beluk (tugas) uskup
keutamaan,keunggulan,keistimewaan
keutuhan,hal (keadaan) utuh,(Ling) taraf keterikatan antara pelbagai unsur dalam struktur sintaksis atau struktur wacana
kevakuman,hal (keadaan) hampa udara,kekosongan (tentang penguasa pejabat dsb yang tidak ada di tempat atau tidak berfungsi)
kewajiban,(sesuatu) yang diwajibkan,sesuatu yang harus dilaksanakan
kewenangan,hal berwenang,hak dan kekuasaan yang dipunyai untuk melakukan sesuatu
kewibawaan,hal yang menyangkut wibawa,yang mempunyai sifat wibawa
keyakinan,kepercayaan dsb yang sungguh-sungguh,kepastian
khairat,perbuatan baik,kemakmuran
khalayak,segala yang diciptakan oleh Tuhan,makhluk (manusia dsb)
khalifah,wakil (pengganti) Nabi Muhammad saw. setelah Nabi wafat (dalam urusan negara dan agama) yang melaksanakan syariat (hukum) Islam dalam kehidupan negara,(gelar) kepala agama dan raja di negara Islam
khalikah,(Ar) yang diciptakan atau dijadikan oleh Tuhan (alam makhluk dsb),pekerti
khamir,(kl) jamur yang berkembang biak dengan tunas kecambah,ragi
khat,tulisan tangan (khususnya tulisan indah),garis
khatam,(kl) cincin meterai,cincin stempel
khatib,orang yang menyampaikan khotbah (pada waktu salat Jumat dsb),juru khotbah
khatimah,kesudahan,akhir
khayal,lukisan (gambar) dalam angan-angan,fantasi
khayalan,yang dikhayalkan,hasil angan-angan
khazanah,barang milik,harta benda
khitah,cita-cita,langkah
khuluk,sifat asli (dibawa sejak lahir),pembawaan
ki,(Jw) sebutan untuk orang tua-tua atau guru (yang menjadi anutan),nama huruf q
kia,(ark) jahitan tangan yang menyerupai jahitan mesin jahit (sama luar dalamnya),setik
kia-kia,ikan hiu yang moncongnya panjang,Rhibatis
kiai,sebutan bagi alim ulama (cerdik pandai dalam agama Islam),alim ulama
kiamat,hari kebangkitan sesudah mati (orang yang telah meninggal dihidupkan kembali untuk diadili perbuatannya),hari akhir zaman (dunia seisinya rusak binasa dan lenyap)
kian,sebegitu,sebanyak itu (ini)
kias,perbandingan (persamaan),ibarat
kiasan,pertimbangan tentang suatu hal dengan perbandingan atau persamaan dengan hal yang lain,perumpamaan
kiblat,arah ke Kakbah di Mekah (pada waktu salat),arah
kibul,(Jk) pantat,dubur
kicau,bunyi burung (terutama burung murai),(ki) celoteh
kicu,tipu,penipu
kicuh,→ kecoh,v melakukan tipu muslihat
kidung,nyanyian lagu (syair yang dinyanyikan),puisi
kijai,pohon kayunya dibuat bahan bangunan rumah dsb,Santiria griffithii
kijing,kepah (remis) yang agak besar tetapi lebih kecil daripada kerang halal dimakan cangkangnya agak pipih,Tellina
kik,perkakas tenun (bingkai tenunan),kantong kulit tempat air (air anggur madu dsb)
kikir,alat dari besi baja yang bergerigi dipakai untuk meratakan (menajamkan dsb) sesuatu,adj terlampau hemat memakai harta bendanya
kila,→ kilah,pancang
kilah,tipu daya,tipu muslihat
kilan,(Jw) jengkal,v → terkilan
kilang,apitan yang berputar,penggilingan
kilas,jerat atau gelang-gelang dari rotan (untuk mengikat kaki binatang pengayuh dsb),gulungan kain sarung pada pinggang
kilat,cahaya yang berkelebat dengan cepat di langit (petir dsb),cahaya yang berkilau (berkilat)
kilatan,sekilas cahaya,(Sas) ragam gaya bahasa perbandingan yang merujuk secara tidak langsung pada suatu karya sastra salah seorang tokoh atau peristiwanya
kili,(kl) pertapa perempuan,→ kili-kili
kili-kili,gelang-gelang biasanya terbuat dari rotan yang dipasang di hidung kerbau,tanduk berlubang untuk menyambung keluar dengan tali kerbau atau sapi
kilik,→ kelat,gelitik
kiliran,alat untuk mengilir,hasil mengilir
kilo,(kp) kilogram,kilometer
kilometer,satuan ukuran panjang 1.000 m (disingkat km),(cak) pengukur kecepatan mobil
kima,siput besar,Chama gigas
kimah,(Ar) harga,nilai
kimono,baju panjang berlengan lebar dengan selempang besar di pinggang khas tradisional Jepang dipakai oleh perempuan,baju panjang berlengan lebar dipakai untuk tidur sebelum dan sesudah mandi
kimpul,tumbuhan talas yang umbinya kecil-kecil kulitnya berwarna hitam,birah hitam
kina,pohon yang termasuk genus Cinchona rasa kulit batangnya sangat pahit digunakan sebagai obat antimalaria,Chinchona succirubra
kinangan,penginangan,hasil menginang
kinantan,sesuatu yang seluruh (sekujur) tubuhnya putih (tentang ayam kuda dsb),nama ayam aduan (Sumatra Utara)
kincir,jentera yang dijalankan dengan angin atau air,jentera pemintal (penggulung)
kincir air,jentera (roda) bertangguk untuk mengangkat air dari bandar (sungai) yang akan dialirkan ke sawah dsb,jentera (roda) yang diputarkan dengan pertolongan air untuk menjalankan mesin
kincir angin,jentera (roda) besar yang dijalankan dengan pertolongan angin (untuk menggiling gandum dsb),baling-baling
kinematika,gerakan geometri suatu titik atau benda padat diartikan menurut suatu sistem koordinasi ruang,ilmu tentang pelbagai cara dalam dinamika
kinerja,sesuatu yang dicapai,prestasi yang diperlihatkan
kinesimeter,alat untuk menyelidiki permukaan tubuh untuk mengetes kepekaan kulit,alat untuk mengukur banyaknya (kuantitas) gerakan
kineskop,rekaman film dari acara televisi,tabung gambar sinar katode
kinestesis,perasaan yang sangat kompleks yang ditimbulkan oleh rangsangan dalam otot urat dan pergelangan,adj bersifat mempunyai daya menyadari gerakan otot
kintal,katak yang dapat menggembungkan perutnya,→ kuintal
kipas,alat untuk mengibas-ngibas (supaya mendapat angin sejuk dsb),baling-baling pada pesawat (kapal mobil dsb)
kiprah,(Sen) gerakan cepat dan dinamis tarian Jawa dalam pertunjukan wayang orang dsb (biasanya ditarikan seorang laki-laki),(ki) derap kegiatan
kipsiau,teko (tempat membuat air teh dsb),cerek (dari tanah)
kira,(cak) pendapat yang hanya berdasarkan dugaan atau perasaan bukan berdasarkan bukti nyata,sangka
kirana,(ark) sinar,adj (ki) molek
kiras,pohon yang kayunya dapat dijadikan bahan rumah dsb,Carcinis celebica
kiri,arah pihak atau sisi bagian badan kita yang berisi jantung,adj selalu berbuat (bekerja) dengan tangan kiri
kiriman,barang yang dikirimkan,(Jk) barang yang dititipkan (diamanatkan) untuk disimpan (dijual dsb)
kiris,pohon kayu akarnya dipakai untuk ramuan obat dan buahnya dapat dimakan Belamcanda chinensis,akar kiris
kisa,jala kecil yang ditarik oleh atau orang biasanya dapat ditarik dari pinggir pantai,pundi-pundi (kantong uang) yang kecil
kisar,gerakan berputar pada porosnya,(Jk) → kisaran
kisaran,putaran (roda dsb),pusaran (air angin dsb)
kisi,→ kisi-kisi,jaringan garis tiga dimensi yang menghubungkan titik-titik pusat atom atau ion di dalam kristal
kisi-kisi,kayu atau besi yang dipasang berdiri dan berjarak sehingga terdapat celah-celah (pada tingkap dsb),terali
kisik,(Jk) → kisikan,v (Mk) → mengisik
kismat,bagian,nasib
kista,(Dok) pembengkakan pada jaringan tubuh yang di dalamnya berongga dan berisi cairan kental menyerupai bubur,selaput yang membentuk kantong tertutup berisi kuman tumbuh secara tidak normal dalam suatu jaringan atau rongga badan
kit,(ark) rumah tempat berjualan madat secara legal,perangkat atau perlengkapan untuk keperluan khusus
kitab,buku,wahyu Tuhan yang dibukukan
kitir,(ark) surat keterangan pajak bumi yang harus dibayar oleh pemilik tanah,(Jw) → kitiran
kitri,pohon buah-buahan (di halaman),(Sd) benih pohon kelapa
kiuk,→ keok,v → terkiuk
kiwi,(ark) juru petak (dalam perahu),orang yang menyewa ruang perahu (turut berekanan)
klaim,tuntutan pengakuan atas suatu fakta bahwa seseorang berhak (memiliki atau mempunyai) atas sesuatu,pernyataan tentang suatu fakta atau kebenaran sesuatu
klasisisme,peniruan langgam seni (kebudayaan sastra) Yunani dan Romawi Kuno ditandai dengan pengutamaan bentuk kesederhanaan dan penguasaan emosi seperti yang terjadi pada abad ke-18,paham tentang standar tradisional yang universal dan langgeng
klerek,(ark) pegawai rendah yang melakukan pekerjaan tulis menulis di kantor pemerintah berpangkat setingkat di atas juru tulis,pegawai yang mengerjakan pekerjaan tulis-menulis di kantor swasta
klien,(Huk) orang yang memperoleh bantuan hukum dari seorang pengacara dalam pembelaan perkara di pengadilan,orang yang membeli sesuatu atau memperoleh layanan (seperti kesehatan konsultasi jiwa) secara tetap
klik,kelompok kecil orang tanpa struktur formal yang mempunyai pandangan atau kepentingan bersama,(Ling) bunyi letup yang dihasilkan dengan sentuhan lidah yang tersentak dilepaskan sehingga timbullah penghirupan udara
klimaks,puncak dari suatu hal kejadian keadaan dsb yang berkembang secara berangsur-angsur,(Sas) kejadian atau adegan yang paling menarik atau penting
klimakterium,masa kritis dalam kehidupan manusia,akhir masa produktif pada wanita biasanya antara umur 4550 tahun
klin,(Bio) landaian ciri yang dinyatakan dengan variasi bersinambungan melalui sederhana populasi yang berjajar berdampingan,landaian perubahan frekuensi fenotipe dan jalan genotipe sepanjang suatu transek kisaran populasi
klinik,(Dok) (bagian) rumah sakit atau lembaga kesehatan tempat orang berobat dan memperoleh advis medis serta tempat mahasiswa kedokteran melakukan pengamatan terhadap kasus penyakit yang diderita para pasien,balai pengobatan khusus
klip,alat untuk menjepit lembaran kertas menjadi satu dibuat dari kawat atau plastik,(Tern) hasil pencukuran wol domba per tahun
klise,gambar negatif pada film potret,(Graf) keping atau pelat berisi gambar yang agak menonjol untuk dicetakkan dengan cetak tinggi
klistron,(Kim) tabung elektron yang mengubah aliran elektron menjadi gelombang cahaya berfrekuensi tinggi,(Fis) tabung elektron yang bekerja sebagai osilator dan pembangkit mikrogelombang elektromagnetik (yang berfrekuensi antara 1100 gigahertz giga = 109)
klorokuin,(Far) obat penyakit malaria (biasanya berupa tablet),C18H26ClN3
klorosis,(Bot) keadaan tidak sehat yang ditandai oleh menguningnya bagian-bagian yang biasanya berwarna hijau sebagai akibat tidak cukup terbentuknya klorofil,(Dok) suatu bentuk anemia yang terlihat pada wanita muda yang disebabkan oleh terlampau sedikitnya hemoglobin
klub,perkumpulan yang kegiatannya mengadakan persekutuan untuk maksud tertentu,gedung tempat pertemuan anggota suatu perkumpulan
koala,beruang kantong yang memanjat panjangnya sekitar kaki dengan kuping besar berbulu berwarna abu-abu dan kuku tajam hidup sebagai binatang malam makanannya daun,Eucaliptus
kobakan,lubang kecil di tanah,lekuk tanah yang berisi air (sehabis hujan)
kobalt,(Kim) logam berwarna putih perak agak merah muda bersifat mulur digunakan terutama sebagai logam campuran,unsur dengan nomor atom 2berlambang Co dan bobot atom 589332
koboi,penggembala sapi yang menaiki kuda (di Amerika),(cak) orang yang bertindak seenaknya sendiri (melanggar aturan menghakimi sendiri suka berkelahi dsb)
kobok,sekelompok (orang),puak
kocak,gerak bolak-balik (kanan-kiri) yang cepat (tentang benda cair),guncang
kocong,kain putih penutup kepala mayat (atau orang yang akan digantung),bungkusan yang panjang (diikat sebelah atau dua belah ujungnya)
kode,tanda (kata-kata tulisan) yang disepakati untuk maksud tertentu (untuk menjamin kerahasiaan berita pemerintah dsb),kumpulan peraturan yang bersistem
kodein,(Dok) alkaloid bersifat narkotik lembut terbuat dari candu biasanya untuk mengobati batuk berat,C18H21NO
kodian,hasil menghitung,yang dijual (dikeluarkan diproduksi) dalam jumlah besar
kodifikasi,himpunan berbagai peraturan menjadi undang-undang,hal penyusunan kitab perundang-undangan
kodok,katak,v → mengodok
kodok hijau,kodok yang warnanya hijau kulitnya licin dibuat sebagai bahan swike,(ki) mobil kecil angkutan umum
kodok-kodok,alat untuk mengisap (air dsb) pompa,(Lay) tupai-tupai
kodrat,kekuasaan (Tuhan),hukum (alam)
koefisien arah,ukuran inklinasi suatu jalan tol,kecepatan perubahan suatu variabel dengan mengikuti koordinat ruang
koenzim,senyawa nonprotein tahan panas yang akan membentuk bagian aktif sistem enzim setelah bereaksi dengan apoenzim,katalis untuk mengaktifkan enzim
koersi,(Sos) bentuk akomodasi yang prosesnya dilaksanakan dengan menggunakan tekanan sehingga salah satu pihak yang berinteraksi berada dalam keadaan lemah dibandingkan dengan pihak lawan,(Kom) sistem komunikasi yang menggunakan paksaan dan kekerasan
kofaktor,suatu elemen atau prinsip,komponen nonprotein yang dibutuhkan oleh suatu enzim agar dapat aktif
kognisi,kegiatan atau proses memperoleh pengetahuan (termasuk kesadaran perasaan dsb) atau usaha mengenali sesuatu melalui pengalaman sendiri,(Sos) proses pengenalan dan penafsiran lingkungan oleh seseorang
koherensi,tersusunnya uraian atau pandangan sehingga bagian-bagiannya berkaitan satu dengan yang lain,(Sas) keselarasan yang mendalam antara bentuk dan isi karya sastra
kohesi,(Fis) gaya (kakas) tarik-menarik di antara molekul sejenis dalam suatu benda,hubungan yang erat
kohor,pengikut,kelompok
koinsidensi,hal terjadinya dua peristiwa dalam waktu yang sama,hal berkumpulnya dua titik atau lebih dalam satu ruang
koja,kendi berleher panjang yang tidak bercerat,gamuh
kok,bola dalam permainan bulu tangkis terbuat dari gabus berbentuk setengah bulatan yang dilapisi kulit tipis pada bagian yang rata diberi bulu-bulu unggas yang dipasang berdiri melingkar sepanjang pinggirnya,(cak) kata yang digunakan untuk menekankan atau menguatkan maksud
koka,pohon yang daunnya mengandung zat kokaina dapat merusakkan paru-paru dan melemahkan saraf otot berasal dari Amerika Selatan,Erythroxylum coca
kokaina,(Far) zat dari daun koka dipakai sebagai obat pembiusan setempat sehingga tidak berasa sakit,(Kim) zat tanpa warna sangat sukar larut dalam air larut dalam bagian etanol diperoleh dari daun koka
kokas minyak bumi,sisa padat yang merupakan hasil akhir proses kondensasi dalam perengkahan dan terdiri atas hidrokarbon polisiklis tinggi dengan kadar hidrogen yang sangat rendah,sisa (residu) yang tinggal setelah penyulingan tuntas minyak bumi
kokol,tumbuhan semacam resam (pakis),v → mengokol
kokot,besi (kawat) yang dibengkokkan untuk memaut,gembok
kokpit,ruang terbuka di buritan tempat mengemudikan kapal (kecil),ruang kursi pilot atau kopilot pada ruang kemudi (dalam pesawat penumpang yang besar ruang khusus untuk pilot dan awak pesawat lain)
kol,kubis,(kp) kolonel
kola,(Bot) tumbuhan yang termasuk keluarga Sterculiaceae bijinya mengandung kafeina dapat dipakai sebagai obat penyegar (antara lain dicampurkan ke dalam minuman dingin),biji kola
kolak,makanan yang dibuat dari pisang ubi dsb yang direbus dengan gula dan santan,sepotong kayu yang bengkok dan bulat pada ujungnya dipakai untuk menggiling lada atau rempah-rempah pada cobek
kolam,ceruk di tanah yang agak luas dan dalam berisi air (untuk memiara ikan dsb),bak tempat air
kolang-kaling,buah enau (yang sudah dikupas) bentuknya kecil agak bulat berwarna putih bening untuk bahan campuran kolak es campur dsb,pulang pergi
kolase,komposisi artistik yang dibuat dari berbagai bahan (dari kain kertas kayu) yang ditempelkan pada permukaan gambar,(Sas) teknik penyusunan karya sastra dengan cara menempelkan bahan-bahan seperti ungkapan asing dan kutipan biasanya dianggap tidak berhubungan satu dengan yang lain
koleksi,kumpulan (gambar benda bersejarah lukisan dsb) yang sering dikaitkan dengan minat atau hobi objek (yang lengkap),kumpulan yang berhubungan dengan studi penelitian
koleksi tandon,bahan pustaka yang jarang digunakan disimpan di lemari tertutup tetapi dapat dipinjam jika diperlukan,bahan pustaka yang banyak diminta karena merupakan bacaan wajib (pada perpustakaan perguruan tinggi) disimpan di tempat khusus dan hanya dapat dibaca di tempat atau dapat dipinjam untuk jangka waktu pendek
kolektor,orang yang mengumpulkan dana,orang yang mengumpulkan benda untuk koleksi (prangko benda bersejarah dsb yang sering dikaitkan dengan minat atau hobi)
kolese,dewan majelis,sekolah
kolesterol,(Kim) lemak yang menyerupai alkohol berkilau seperti mutiara terdapat di dalam sel tubuh manusia dan hewan terutama sel saraf dan otak mempunyai peranan penting dalam pengangkutan lemak dan pembuatan hormon,C27H45OH
koligasi,(Ling) hubungan antara kategori gramatikal dari unsur leksikal di dalam struktur sintaktis,kelompok unsur leksikal yang berkategori gramatikal sama dalam struktur sintaktis
kolkhoz,tanah pertanian (di Rusia) yang merupakan milik kolektif rakyat yang diawasi pemerintah,koperasi produksi yang dimiliki secara bersama-sama (di Rusia)
koloid,zat yang berpencar dalam zat pelarut sebagai butir yang lebih besar daripada molekul tetapi tidak dapat dilihat dengan mata (harus dengan mikroskop),(Bio) zat yang lekat seperti getah atau lem
kolokium,pertemuan keahlian,seminar
kolom,ruang antara dua garis tegak pada lembar kertas atau halaman buku,lajur
kolone,barisan tentara yang diatur sebagai lajur (makin ke belakang makin melebar),sekumpulan (barisan) binatang yang jumlahnya banyak
kolong,ruang atau rongga (yang lebar) di bawah benda berkaki atau bertiang (seperti ranjang rumah panggung),lubang (tembusan) di dalam tanah (tambang)
koloni,daerah penempatan penduduk,(tanah) jajahan
kolonis,orang yang tinggal di daerah jajahan,penduduk baru dari daerah koloni
kolonisasi,tempat perpindahan penduduk di daerah koloni,perpindahan penduduk ke daerah koloni
kolum,(Zool) leher atau struktur berbentuk leher,segmen pertama tanpa kaki di belakang kepala pada binatang kaki seribu
kolumela,bagian tengah rumah siput,massa keping tengah koralit
kolumnus,(Zool) struktur berbentuk batang seperti badan karang,poros tulang belakang (vertebrata)
kom,(kp) baskom,→ ko-
koma,tanda baca () yang dipakai untuk memisahkan unsur dalam suatu perincian memisahkan nama orang dari gelar akademik yang mengiringinya memisahkan anak kalimat yang mendahului induk kalimat mengapit keterangan tambahan atau keterangan aposisi dalam kalimat dsb,(Dok) keadaan tidak sadar sama sekali dan tidak mampu memberi reaksi terhadap suatu rangsangan (karena keracunan sakit parah dsb)
komandan,kepala (pemimpin) pasukan (di suatu daerah kota atau benteng),kepala (pemimpin) sekelompok pasukan
komando,aba-aba,perintah
komendur,kepala pasukan,pembesar pelabuhan
komidi,pertunjukan berbagai kepandaian gerak badan (menjengkolet meniti kawat dsb),akrobat
komisar,kepala urusan pemerintahan di Rusia,petugas politik partai komunis Rusia yang mendampingi komandan satuan militer
komisariat,jabatan atau kantor komisaris,kantor kepala polisi di suatu daerah (zaman dulu
komisaris,orang yang ditunjuk oleh anggota (pemegang saham dsb) untuk melakukan suatu tugas terutama menjadi anggota pengurus perkumpulan perusahaan perseroan dsb,pejabat pemerintah yang ditunjuk dan ditugasi sebagai wakil pemerintah suatu negara menjadi anggota persatuan antarnegara
komisaris tinggi,komisaris agung,duta besar dari negara Persemakmuran di negara Persemakmuran yang lain
komisi,sekelompok orang yang ditunjuk (diberi wewenang) oleh pemerintah rapat dsb untuk menjalankan fungsi (tugas) tertentu,imbalan (uang) atau persentase tertentu yang dibayarkan karena jasa yang diberikan dalam jual beli dsb
komoditas,barang dagangan utama,benda niaga
kompanyon,kawan,kawan dalam satu usaha perdagangan
komparator,alat untuk membandingkan ukuran panjang umumnya dibuat dari sebuah teleskop atau mikroskop yang digerakkan naik turun pada sebuah skala,alat untuk membuat perbandingan antara dua sinar atau warna
kompartemen,bagian yang terpisah,bagian dari organisasi yang mengurusi suatu bidang tertentu
kompas,alat untuk mengetahui arah mata angin (biasanya berbentuk seperti jam yang berjarum besi berani yang menunjuk arah utara dan selatan),pedoman arah
kompatibilitas,hal dapat dirangkap (tentang jabatan),keadaan penyesuaian diri
kompeni,persekutuan dagang Belanda di Nusantara pada pertengahan abad ke-1sampai dengan awal abad ke-1(VOC),pemerintah Belanda (pada zaman penjajahan)
kompenian,kewajiban bekerja untuk kepentingan pemerintah (jajahan) tanpa upah,rodi
kompensasi,ganti rugi,pemberesan piutang dengan memberikan barang-barang yang seharga dengan utangnya
kompetensi,kewenangan (kekuasaan) untuk menentukan (memutuskan sesuatu),(Ling) kemampuan menguasai gramatika suatu bahasa secara abstrak atau batiniah
kompetisi,persaingan,(Olr) pertandingan untuk merebut kejuaraan dalam gabungan perkumpulan olahraga (sepak bola dsb)
kompleks,himpunan kesatuan,kelompok
komplemen,sesuatu yang melengkapi atau menyempurnakan,(Ling) kata atau frasa yang secara gramatikal melengkapi kata atau frasa lain
komplikasi,(Dok) penyakit yang baru timbul kemudian sebagai tambahan pada penyakit yang sudah ada,percampuran yang kusut (dari berbagai hal)
komplot,(ark) sahabat baik,sekutu secara rahasia untuk kejahatan
komplotan,persekutuan secara rahasia yang bermaksud melakukan kejahatan,gerombolan penjahat
komposisi,susunan,tata susun
komposit,gabungan,campuran
komprador,pengantara bangsa pribumi yang dipakai oleh perusahaan atau perwakilan asing (di Tiongkok) dalam hubungannya dengan orang-orang pribumi,perantara
kompulsi,dorongan,paksaan
komune,wilayah administrasi terkecil yang ditandai oleh pemilikan dan pemakaian hak secara kolektif,kelompok orang yang hidup bersama
komuni,(Kat) sakramen dalam gereja yang diwujudkan dengan penyantapan roti dan anggur,bagian misa saat diterimakannya roti dan anggur
komunikasi,pengiriman dan penerimaan pesan atau berita antara dua orang atau lebih sehingga pesan yang dimaksud dapat dipahami,hubungan
konco,(Jw) teman,sahabat
kondensasi,(Fis) perubahan uap air atau benda gas menjadi benda cair pada suhu udara di bawah titik embun,(Psi) penggabungan dua ide atau lebih yang ada di bawah kesadaran dan muncul sebagai ide tunggal pada kesadaran
kondensat,hasil penyulingan berupa cairan,gas bumi berupa cairan yang didapat dari gas alam
kondensator,(Fis) alat untuk mengubah uap menjadi benda cair atau embun,peranti penghimpun tenaga listrik
kondisi,persyaratan,keadaan
kondominium,(Sos) kepunyaan bersama,(Pol) negeri (daerah) yang dikuasai bersama
kondor,(Jk) burut,hernia
konduktor,benda atau bahan penghantar panas arus listrik atau suara,(Mus) pemimpin pergelaran musik dengan isyarat tangan dan tubuh untuk menyatukan ungkapan suatu karya musik
koneksi,hubungan yang dapat memudahkan (melancarkan) segala urusan (kegiatan),(cak) kenalan
konfederasi,gabungan beberapa negara yang dibentuk untuk mengatur kepentingan bersama misal pertahanan tetapi masing-masing tetap berdaulat penuh,gabungan beberapa organisasi misal organisasi buruh
konfesi,pengakuan iman penganut agama,pengakuan dosa
konfigurasi,bentuk,wujud (untuk menggambarkan orang atau benda)
konflik,percekcokan,perselisihan
konformitas,persesuaian,kecocokan
konfrontasi,perihal berhadap-hadapan langsung (antara saksi dan terdakwa dsb),permusuhan
kongesti,penimbunan,banyaknya barang tertimbun di suatu tempat sehingga menimbulkan kemacetan arus barang
kongkoan,gedung untuk umum (terutama di kalangan masyarakat Cina),majelis (penasihat) urusan Cina
kongkong,kayu (besi) berlubang yang dipasang pada leher atau pada kaki (sebagai hukuman atau supaya terhukum jangan melarikan diri),pasung
kongkongan,yang dikongkong,(ki) belenggu
konglomerat,pengusaha besar yang mempunyai banyak perusahaan atau anak perusahaan,perusahaan besar yang beranggotakan berbagai macam perusahaan dan bergerak dalam bidang usaha yang bermacam-macam
